fid,ID,ETIQUETA,ANGLE
1,AAJsUQAAFAAAj6EAAA,42-40,238.87
2,AAJsUQAAFAAAj6EAAB,44,238.82
3,AAJsUQAAFAAAj6EAAC,46,238.82
4,AAJsUQAAFAAAj6EAAD,48,238.8
5,AAJsUQAAFAAAj6EAAE,527,44.18
6,AAJsUQAAFAAAj6EAAF,12,237.52
7,AAJsUQAAFAAAj6EAAG,523,44.410000000000004
8,AAJsUQAAFAAAj6EAAH,10,237.4
9,AAJsUQAAFAAAj6EAAI,521,44.34
10,AAJsUQAAFAAAj6EAAJ,519,44.11
11,AAJsUQAAFAAAj6EAAK,6,238.57
12,AAJsUQAAFAAAj6EAAL,517,43.88
13,AAJsUQAAFAAAj6EAAM,515,44.58
14,AAJsUQAAFAAAj6EAAN,2,237.84
15,AAJsUQAAFAAAj6EAAO,224,345.76
16,AAJsUQAAFAAAj6EAAP,14,238.35
17,AAJsUQAAFAAAj6EAAQ,26-16,239.23000000000002
18,AAJsUQAAFAAAj6EAAR,195-201,135.26
19,AAJsUQAAFAAAj6EAAS,464-458,225.07
20,AAJsUQAAFAAAj6EAAT,242-238,314.22
21,AAJsUQAAFAAAj6EAAU,236-230,314.17
22,AAJsUQAAFAAAj6EAAV,470-466,224.37
23,AAJsUQAAFAAAj6EAAW,472,224.38
24,AAJsUQAAFAAAj6EAAX,474,224.35
25,AAJsUQAAFAAAj6EAAY,205-207,134.31
26,AAJsUQAAFAAAj6EAAZ,29,58.54
27,AAJsUQAAFAAAj6EAAa,203,134.36
28,AAJsUQAAFAAAj6EAAb,27,58.620000000000005
29,AAJsUQAAFAAAj6EAAc,25,58.58
30,AAJsUQAAFAAAj6EAAd,23,58.46
31,AAJsUQAAFAAAj6EAAe,21,58.45
32,AAJsUQAAFAAAj6EAAf,17-19,58.45
33,AAJsUQAAFAAAj6EAAg,15,58.6
34,AAJsUQAAFAAAj6EAAh,11-13,58.47
35,AAJsUQAAFAAAj6EAAi,13.B,7.71
36,AAJsUQAAFAAAj6EAAj,228-226,314.31
37,AAJsUQAAFAAAj6EAAk,456-436,224.94
38,AAJsUQAAFAAAj6EAAl,223-229,134.13
39,AAJsUQAAFAAAj6EAAm,217-219,134.9
40,AAJsUQAAFAAAj6EAAn,9,58.33
41,AAJsUQAAFAAAj6EAAo,213-215,135.01
42,AAJsUQAAFAAAj6EAAp,7,57.89
43,AAJsUQAAFAAAj6EAAq,212.X,314.37
44,AAJsUQAAFAAAj6EAAr,528.X-520.X,224.44
45,AAJsUQAAFAAAj6EAAs,308.X,17.63
46,AAJsUQAAFAAAj6EAAt,222.X,302.63
47,AAJsUQAAFAAAj6EAAu,538,224.51
48,AAJsUQAAFAAAj6EAAv,13,134.52
49,AAJsUQAAFAAAj6EAAw,11,134.57
50,AAJsUQAAFAAAj6EAAx,9,134.52
51,AAJsUQAAFAAAj6EAAy,7,134.57
52,AAJsUQAAFAAAj6EAAz,5,134.52
53,AAJsUQAAFAAAj6EAA0,1,134.49
54,AAJsUQAAFAAAj6EAA1,302-300,18.150000000000002
55,AAJsUQAAFAAAj6EAA2,1.B,134.64000000000001
56,AAJsUQAAFAAAj6EAA3,304,17.67
57,AAJsUQAAFAAAj6EAA4,534-530,224.41
58,AAJsUQAAFAAAj6EAA5,188-172,314.14
59,AAJsUQAAFAAAj6EAA6,536,224.47
60,AAJsUQAAFAAAj6EAA7,203,134.3
61,AAJsUQAAFAAAj6EAA8,201,134.11
62,AAJsUQAAFAAAj6EAA9,199,134.2
63,AAJsUQAAFAAAj6EAA+,195-197,134.11
64,AAJsUQAAFAAAj6EAA/,185-193,134.12
65,AAJsUQAAFAAAj6EABA,183.B,134.14000000000001
66,AAJsUQAAFAAAj6FAAA,2.B,314.38
67,AAJsUQAAFAAAj6FAAB,4,314.36
68,AAJsUQAAFAAAj6FAAC,6,314.31
69,AAJsUQAAFAAAj6FAAD,8,314.42
70,AAJsUQAAFAAAj6FAAE,12,314.29
71,AAJsUQAAFAAAj6FAAF,540,224.57
72,AAJsUQAAFAAAj6FAAG,14,314.26
73,AAJsUQAAFAAAj6FAAH,542,223.97
74,AAJsUQAAFAAAj6FAAI,4.B,314.31
75,AAJsUQAAFAAAj6FAAJ,544,224.44
76,AAJsUQAAFAAAj6FAAK,119-121,67.63
77,AAJsUQAAFAAAj6FAAL,113-117,67.63
78,AAJsUQAAFAAAj6FAAM,107-111,67.63
79,AAJsUQAAFAAAj6FAAN,268.B,229.08
80,AAJsUQAAFAAAj6FAAO,270,229.08
81,AAJsUQAAFAAAj6FAAP,272,229.08
82,AAJsUQAAFAAAj6FAAQ,137,71.33
83,AAJsUQAAFAAAj6FAAR,131-135,71.33
84,AAJsUQAAFAAAj6FAAS,278,229.08
85,AAJsUQAAFAAAj6FAAT,123-125,71.33
86,AAJsUQAAFAAAj6FAAU,274,229.08
87,AAJsUQAAFAAAj6FAAV,276,229.08
88,AAJsUQAAFAAAj6FAAW,280,229.08
89,AAJsUQAAFAAAj6FAAX,282,229.08
90,AAJsUQAAFAAAj6FAAY,284,229.08
91,AAJsUQAAFAAAj6FAAZ,288-286,229.08
92,AAJsUQAAFAAAj6FAAa,290,229.08
93,AAJsUQAAFAAAj6FAAb,294-292,229.08
94,AAJsUQAAFAAAj6FAAc,178-168,315.05
95,AAJsUQAAFAAAj6FAAd,219-221,165.91
96,AAJsUQAAFAAAj6FAAe,292,313.99
97,AAJsUQAAFAAAj6FAAf,418,270.04
98,AAJsUQAAFAAAj6FAAg,420,224.16
99,AAJsUQAAFAAAj6FAAh,422,224.25
100,AAJsUQAAFAAAj6FAAi,424,224.3
101,AAJsUQAAFAAAj6FAAj,428,224.25
102,AAJsUQAAFAAAj6FAAk,430,224.28
103,AAJsUQAAFAAAj6FAAl,432,224.3
104,AAJsUQAAFAAAj6FAAm,436,224.25
105,AAJsUQAAFAAAj6FAAn,438,224.25
106,AAJsUQAAFAAAj6FAAo,440,224.3
107,AAJsUQAAFAAAj6FAAp,444,224.21
108,AAJsUQAAFAAAj6FAAq,446,224.3
109,AAJsUQAAFAAAj6FAAr,235,134.32
110,AAJsUQAAFAAAj6FAAs,448.B,178.32
111,AAJsUQAAFAAAj6FAAt,231,134.9
112,AAJsUQAAFAAAj6FAAu,229,134.1
113,AAJsUQAAFAAAj6FAAv,227,134.87
114,AAJsUQAAFAAAj6FAAw,223,134.28
115,AAJsUQAAFAAAj6FAAx,435,44.18
116,AAJsUQAAFAAAj6FAAy,219-221,134.94
117,AAJsUQAAFAAAj6FAAz,433,44.2
118,AAJsUQAAFAAAj6FAA0,431,44.480000000000004
119,AAJsUQAAFAAAj6FAA1,425,44.31
120,AAJsUQAAFAAAj6FAA2,282-278,314.13
121,AAJsUQAAFAAAj6FAA3,290,314.24
122,AAJsUQAAFAAAj6FAA4,233.I,133.83
123,AAJsUQAAFAAAj6FAA5,452,224.77
124,AAJsUQAAFAAAj6FAA6,454,224.74
125,AAJsUQAAFAAAj6FAA7,456,224.77
126,AAJsUQAAFAAAj6FAA8,458,224.69
127,AAJsUQAAFAAAj6FAA9,9-17,44.6
128,AAJsUQAAFAAAj6FAA+,460,224.77
129,AAJsUQAAFAAAj6FAA/,466,224.79
130,AAJsUQAAFAAAj6FABA,468,224.77
131,AAJsUQAAFAAAj6GAAA,245,179.06
132,AAJsUQAAFAAAj6GAAB,470,179.68
133,AAJsUQAAFAAAj6GAAC,19,44.62
134,AAJsUQAAFAAAj6GAAD,244,314.88
135,AAJsUQAAFAAAj6GAAE,7,44.51
136,AAJsUQAAFAAAj6GAAF,5,44.61
137,AAJsUQAAFAAAj6GAAG,1-3,44.57
138,AAJsUQAAFAAAj6GAAH,242-238,313.58
139,AAJsUQAAFAAAj6GAAI,25-27,44.69
140,AAJsUQAAFAAAj6GAAJ,241-243,134.69
141,AAJsUQAAFAAAj6GAAK,236,314.56
142,AAJsUQAAFAAAj6GAAL,4,224.31
143,AAJsUQAAFAAAj6GAAM,6,224.41
144,AAJsUQAAFAAAj6GAAN,8,224.81
145,AAJsUQAAFAAAj6GAAO,10,224.54
146,AAJsUQAAFAAAj6GAAP,14,224.4
147,AAJsUQAAFAAAj6GAAQ,16,224.87
148,AAJsUQAAFAAAj6GAAR,18,224.53
149,AAJsUQAAFAAAj6GAAS,20,224.36
150,AAJsUQAAFAAAj6GAAT,22,224.49
151,AAJsUQAAFAAAj6GAAU,24,224.63
152,AAJsUQAAFAAAj6GAAV,234,313.22
153,AAJsUQAAFAAAj6GAAW,26-28,224.63
154,AAJsUQAAFAAAj6GAAX,239,134.78
155,AAJsUQAAFAAAj6GAAY,237,134.13
156,AAJsUQAAFAAAj6GAAZ,235,135.09
157,AAJsUQAAFAAAj6GAAa,437-439,44.68
158,AAJsUQAAFAAAj6GAAb,224-214,0.6
159,AAJsUQAAFAAAj6GAAc,226,313.87
160,AAJsUQAAFAAAj6GAAd,441-451,44.68
161,AAJsUQAAFAAAj6GAAe,232-228,314.8
162,AAJsUQAAFAAAj6GAAf,26.X,224.63
163,AAJsUQAAFAAAj6GAAg,239.X,134.78
164,AAJsUQAAFAAAj6GAAh,453-457,44.68
165,AAJsUQAAFAAAj6GAAi,258,313.69
166,AAJsUQAAFAAAj6GAAj,472,268.61
167,AAJsUQAAFAAAj6GAAk,474,224.55
168,AAJsUQAAFAAAj6GAAl,486-482,224.33
169,AAJsUQAAFAAAj6GAAm,225-227,132.94
170,AAJsUQAAFAAAj6GAAn,490-488,224.3
171,AAJsUQAAFAAAj6GAAo,219-221,134.79
172,AAJsUQAAFAAAj6GAAp,215,134.59
173,AAJsUQAAFAAAj6GAAq,213,133.48
174,AAJsUQAAFAAAj6GAAr,475,85.43
175,AAJsUQAAFAAAj6GAAs,209-211,134.51
176,AAJsUQAAFAAAj6GAAt,459-461,44.4
177,AAJsUQAAFAAAj6GAAu,254,314.13
178,AAJsUQAAFAAAj6GAAv,256,314.68
179,AAJsUQAAFAAAj6GAAw,256.I,314.83
180,AAJsUQAAFAAAj6GAAx,474.I,224.11
181,AAJsUQAAFAAAj6GAAy,252-246,314.46
182,AAJsUQAAFAAAj6GAAz,480.I,224.15
183,AAJsUQAAFAAAj6GAA0,465-473,44.88
184,AAJsUQAAFAAAj6GAA1,216,314.14
185,AAJsUQAAFAAAj6GAA2,498-494,224.34
186,AAJsUQAAFAAAj6GAA3,532-530,225.39000000000001
187,AAJsUQAAFAAAj6GAA4,534,224.82
188,AAJsUQAAFAAAj6GAA5,536,179.26
189,AAJsUQAAFAAAj6GAA6,219,179.46
190,AAJsUQAAFAAAj6GAA7,217,134.0
191,AAJsUQAAFAAAj6GAA8,211,134.1
192,AAJsUQAAFAAAj6GAA9,207,133.96
193,AAJsUQAAFAAAj6GAA+,205,134.55
194,AAJsUQAAFAAAj6GAA/,203,134.09
195,AAJsUQAAFAAAj6GABA,591,44.410000000000004
196,AAJsUQAAFAAAj6HAAA,68-66,238.74
197,AAJsUQAAFAAAj6HAAB,72-70,238.79
198,AAJsUQAAFAAAj6HAAC,74,238.57
199,AAJsUQAAFAAAj6HAAD,559.I,57.480000000000004
200,AAJsUQAAFAAAj6HAAE,569,43.63
201,AAJsUQAAFAAAj6HAAF,181-185,134.34
202,AAJsUQAAFAAAj6HAAG,218,268.83
203,AAJsUQAAFAAAj6HAAH,51-57,58.27
204,AAJsUQAAFAAAj6HAAI,490-488,224.52
205,AAJsUQAAFAAAj6HAAJ,227,143.43
206,AAJsUQAAFAAAj6HAAK,47-49,58.25
207,AAJsUQAAFAAAj6HAAL,486,223.89000000000001
208,AAJsUQAAFAAAj6HAAM,484,224.62
209,AAJsUQAAFAAAj6HAAN,43,58.57
210,AAJsUQAAFAAAj6HAAO,39-41,58.730000000000004
211,AAJsUQAAFAAAj6HAAP,478,224.59
212,AAJsUQAAFAAAj6HAAQ,35-37,58.800000000000004
213,AAJsUQAAFAAAj6HAAR,31,58.69
214,AAJsUQAAFAAAj6HAAS,196,314.19
215,AAJsUQAAFAAAj6HAAT,198,313.93
216,AAJsUQAAFAAAj6HAAU,476,223.12
217,AAJsUQAAFAAAj6HAAV,480,224.66
218,AAJsUQAAFAAAj6HAAW,223-225,133.44
219,AAJsUQAAFAAAj6HAAX,58-50,238.88
220,AAJsUQAAFAAAj6HAAY,221,133.88
221,AAJsUQAAFAAAj6HAAZ,219,133.55
222,AAJsUQAAFAAAj6HAAa,213,133.48
223,AAJsUQAAFAAAj6HAAb,211,88.72
224,AAJsUQAAFAAAj6HAAc,549,44.34
225,AAJsUQAAFAAAj6HAAd,547,44.33
226,AAJsUQAAFAAAj6HAAe,543,44.22
227,AAJsUQAAFAAAj6HAAf,281-283,133.72
228,AAJsUQAAFAAAj6HAAg,2,314.17
229,AAJsUQAAFAAAj6HAAh,279,134.17000000000002
